icao24,firstseen,takeofftime,lastseen,landingtime,callsign,estdepartureairport,airportofdeparture,estarrivalairport,airportofdestination,model, typecode, registration
06a074,1662221342.0,,1662223011,,QTR1162 ,OTHH,,OERT,,777 2DZLR,B77L,A7-BBD
3c6582,1662228789.0,,1662233776,,DLH06A  ,EDDM,,LFNR,,A319 114,A319,D-AILB
a3bc7c,1662212911.0,,1662213863,,N34RR   ,KX40,,KX40,,ALPHA TRAINER,,N34RR
c05ef7,1662214291.0,,1662216853,,JZA7919 ,,,CYUL,,DHC-8-402 (Bombardier),DH8D,C-GJZA
4d2348,1662233130.0,,1662237837,,RYR49TX ,LMML,,LIQG,,Boeing 737 MAX 8-200,B38M,9H-VUI
300782,1662228240.0,,1662230839,,DLA9WJ  ,EDDM,,LIPE,,ERJ-195LR,E190,I-ADJW
8681b7,1662203504.0,,1662208401,,SKY027  ,RJTT,,RJFF,,737NG 8FH/W,B738,JA73NR
aa1848,1662189834.0,,1662197526,,WIS700  ,KDPA,,KANE,,402B,,N75GB
a25925,1662211058.0,,1662212869,,SKW4103 ,,,KMSP,,ERJ 170-200 LR,E75L,N250SY
a88e63,1662165644.0,,1662166957,,N650T   ,2MO9,,KLXT,,95,,N650T
ab0e2b,1662224748.0,,1662226373,,N811ME  ,KTHV,,KGAI,,EC135T2+,EC35,N811ME
780f7e,1662166874.0,,1662176429,,EPA6262 ,,,ZGSZ,,737NG 83Z/W,B738,B-7630
aa2a8a,1662221093.0,,1662234296,,SWA1232 ,KBNA,,TJSJ,,737-7H4,B737,N754SW
50844d,1662163705.0,,1662166482,,ZAV9011 ,OMAA,,,,Ilyushin IL76TD,IL76,UR-CTO
495304,1662159426.0,,1662181353,,TAP218  ,KBOS,,LPPT,,A321-251NX/LR,,CS-TXD
a7c6a5,1662186093.0,,1662187798,,N60TX   ,KHOU,,KHOU,,AS 350 B2,AS50,N60TX
a61219,1662228520.0,,1662234525,,SWA1969 ,KBOI,,KPHX,,737-7H4,B737,N490WN
4cacb4,1662184987.0,,1662188648,,SAS001  ,,,ESSA,,,,
a0c3c9,1662167767.0,,1662170182,,N1487V  ,KNRS,,KSDM,,172M,,N1487V
343046,1662196130.0,1662196131.0,1662204926,1662205113.0,VLG9NW  ,EDDB,EDDB,LEBL,LEBL,A320 214,A320,EC-KLB
a8bc13,1662215401.0,,1662216435,,ENY4209 ,KDFW,,KCWC,,EMB-145LR,E145,N662EH
7c52fc,1662166029.0,,1662167661,,QLK323D ,,,YBBN,,DHC-8 402,DH8D,VH-QOE
a39356,1662207870.0,,1662208839,,N3299D  ,6MD8,,KN06,,S-2R,,N3299D
3991e1,1662193260.0,1662193261.0,1662198021,1662198069.0,AFR16TZ ,LIPZ,LIPZ,LFPG,LFPG,A320 214,A320,F-HEPB
a1890c,1662214992.0,,1662215937,,N19859  ,KYKM,,K1S5,,172M,,N19859
a5717a,1662217022.0,,1662222530,,N45TP   ,,,KNEW,,525C,C560,N45TP
503d6f,1662210884.0,,1662214731,,CFG8PT  ,,,EDDM,,,,
a4fbf2,1662165562.0,,1662167203,,N420DH  ,KTYQ,,KTYQ,,R66,R66,N420DH
a07602,1662164974.0,,1662168978,,N129K   ,KRNT,,1WA9,,172S,,N129K
800c73,1662193986.0,,1662203429,,IGO5002 ,VIDP,,,,,,
a01820,1662162526.0,,1662166574,,AMX177  ,KNRS,,,,737-8,,N105JS
