icao24,firstseen,takeofftime,lastseen,landingtime,callsign,estdepartureairport,airportofdeparture,estarrivalairport,airportofdestination,model, typecode, registration
4ca7e1,1662029145.0,,1662034011,,ITY428  ,LIML,,EDDH,,A320-216,A320,EI-DTJ
ac54b1,1662047776.0,,1662049422,,FDX6015 ,RKSI,,,,777F,,N894FD
ac7720,1661999709.0,,1662002140,,ASH5907 ,KDFW,,2TX6,,CL-600-2D24,CRJ9,N902FJ
3c5430,1662069241.0,1662069246.0,1662073117,1662073112.0,BCS419  ,EKCH,EKCH,EBMB,EBBR,A300B4-622R(F),A306,D-AEAP
abfa5f,1662064565.0,,1662066098,,N871DG  ,KTRK,,KMOD,,PC-12/47E,PC12,N871DG
a2d957,1662064490.0,,1662066459,,N283CE  ,KJHW,,KPTK,,GULFSTREAM G280,,N283CE
4ba913,1662004610.0,,1662005976,,THY2PB  ,,,,,737NG 8F2/W,B738,TC-JHS
400d91,1662055368.0,,1662060357,,EZY65PU ,EGPH,,LFPG,,AIRBUS A319-111,A319,G-EZAG
ae1f39,1662056851.0,,1662060918,,EPIC42  ,KSWF,,KSWF,,UH-72A Lakota,EC45,07-72042
7c67d7,1661993444.0,,1661996844,,USP     ,YPPF,,YPPF,,Cessna 172S Skyhawk SP,C172,VH-USP
3d2c14,1662036229.0,,1662046912,,DEOYE   ,,,EDTD,,F172,C172,D-EOYE
4bb065,1662024354.0,,1662028154,,THY6ZJ  ,,,LTFM,,Boeing 737 MAX 8,B38M,TC-LCE
c0248b,1661995083.0,,1661997748,,ACA463  ,CYOW,,CYYZ,,A320-211 (Airbus),A320,C-FNVU
3d1575,1662049091.0,,1662050785,,DEGJL   ,EDNY,,EDNE,,,,
a9a97f,1662068221.0,,1662071672,,RPA3531 ,CYUL,,KEWR,,ERJ 170-200 LR,E75L,N721YX
a6a425,1661990404.0,,1661991112,,NKS1702 ,,,KLGA,,A319-132,A319,N527NK
a83876,1662041801.0,,1662045988,,JBU2401 ,KLGA,,,,A320-232,A320,N629JB
abe1aa,1661990412.0,,1661995599,,N865CP  ,FL95,,KSUA,,172R,,N865CP
a0a967,1662066429.0,,1662073403,,UCA4832 ,KTYS,,KEYQ,,EMB-145XR,E45X,N14143
ad21bc,1662058333.0,,1662064738,,SWA2720 ,KCMH,,29MO,,737NG 7H4/W,B737,N945WN
aa5d60,1662071163.0,,1662074627,,AAL1475 ,,,KPHL,,A319-112,A319,N767UW
155c06,1662009945.0,,1662011249,,AZO438  ,,,UUWW,,,,
47b007,1662042635.0,,1662045945,,MDT5    ,EKCH,,ENGM,,Challenger 350,CL35,LN-STB
4bb84b,1662016504.0,,1662030328,,PGT1757 ,,,EGSS,,A320 251NSL,A20N,TC-NBK
503d97,1662017820.0,,1662020804,,LYTIT   ,EYKS,,EYKS,,Diamond DA40NG,DA40,LY-TIT
a35336,1662064633.0,,1662069951,,AAY2809 ,KLCK,,KSVN,,A319-111,,N313NV
